Mx,My,Mz,M_mag,km,label
13.3313,70.56519,26.64185,76.59606889944548,0,Open
13.34106,70.48462,26.74072,76.55802795648802,0,Open
13.34229,70.44189,26.82007,76.54667023470779,0,Open
13.36182,70.42603,26.83105,76.53933093106968,0,Open
13.4668,70.42969,26.86523,76.57307959517496,0,Open
13.49609,70.47363,26.88232,76.62464420307215,0,Open
13.54858,70.49072,26.78345,76.61500388329495,0,Open
13.53149,70.43945,26.67236,76.52602254065083,0,Open
13.48267,70.46631,26.80542,76.58860082754744,0,Open
13.52051,70.39673,26.65283,76.47795193624043,0,Open
13.51074,70.37231,26.69189,76.46737279294875,0,Open
13.52295,70.34668,26.67969,76.44168641664704,0,Open
13.50464,70.32959,26.61865,76.40143361822602,0,Open
13.48755,70.31494,26.67114,76.40323619524045,0,Open
13.38867,70.354,26.61987,76.40392188353815,0,Open
13.32886,70.31372,26.60767,76.35211740329734,0,Open
13.30566,70.27832,26.73828,76.36110572416038,0,Open
13.33862,70.33081,26.86279,76.45881967009824,0,Open
13.42529,70.35156,26.90674,76.50851628051154,0,Open
13.35693,70.45654,27.00317,76.62703698986019,0,Open
13.28369,70.63965,26.97876,76.77414970728233,0,Open
13.15308,70.97534,27.05933,77.08897289269653,0,Open
12.84302,71.45264,27.20825,77.52878042219226,0,Open
12.50732,72.02271,27.59033,78.1340522361115,0,Open
12.16309,72.52563,27.92969,78.66368506967558,0,Open
12.07153,72.89185,28.07617,79.0393253692888,0,Open
12.01538,73.09814,28.09326,79.22713351770088,0,Open
12.01538,73.17871,28.01147,79.27253878468507,0,Open
11.98364,73.21167,28.10181,79.33012023887648,0,Open
12.04468,73.1604,28.16162,79.31327307258728,0,Open
12.20337,72.97974,28.14819,79.16618779567828,0,Open
12.32788,72.68677,28.16772,78.92251648500381,0,Open
12.64526,72.20825,28.12866,78.51850407340744,0,Open
12.99927,71.63574,27.86377,77.9554356314773,0,Open
13.35693,71.07788,27.63916,77.42348332272903,0,Open
13.49487,70.70923,27.51831,77.06597244417215,0,Open
13.56812,70.56641,27.51831,76.94783613512858,0,Open
13.57178,70.44189,27.5708,76.85312024752476,0,Open
13.50342,70.40405,27.51831,76.78756405405109,0,Open
13.43628,70.354,27.53418,76.73558499490832,0,Open
13.34351,70.36011,27.40112,76.67734812567922,0,Open
13.29712,70.33936,27.19238,76.57587410907172,0,Open
13.2959,70.35645,27.13745,76.57187607676201,0,Open
13.26782,70.37109,27.1228,76.5752677773999,0,Open
13.23975,70.32227,27.09961,76.51732810394977,0,Open
13.21655,70.3125,27.146,76.52078257671245,0,Open
13.17993,70.2478,27.05933,76.4242847509468,0,Open
13.11157,70.33081,27.12646,76.51261945099384,0,Open
13.15552,70.31982,27.17285,76.52652199352393,0,Open
13.19702,70.34546,27.16309,76.55376240159657,0,Open
13.12256,70.354,27.38159,76.6266165759764,0,Open
13.13599,70.33081,27.44995,76.63208742777859,0,Open
13.09082,70.3186,27.41455,76.60047405816037,0,Open
13.09937,70.32227,27.43652,76.61316976904297,0,Open
13.08472,70.41748,27.34863,76.66667431097882,0,Open
13.04687,70.51514,27.31812,76.73907392163981,0,Open
12.97607,70.70435,27.41821,76.93660858896433,0,Open
12.91626,70.98511,27.46826,77.20246706891757,0,Open
