Mx,My,Mz,M_mag,km,label
15.58472,69.77661,18.33984,73.8106261441813,1,Open
15.53345,69.84375,18.25317,73.8418289183976,1,Open
15.52856,69.89746,18.20068,73.87865620453312,1,Open
15.57495,69.93286,18.05786,73.8868749038806,1,Open
15.60913,69.98047,18.10669,73.95108750744575,1,Open
15.67017,70.00122,18.11157,73.9848227488733,1,Open
15.66528,70.04395,18.1189,74.0260120923105,1,Open
15.76294,70.08789,18.14575,74.09487732062318,1,Open
15.79834,70.12695,18.08472,74.12444779245575,1,Open
15.80688,70.1709,18.10913,74.17380434830952,1,Open
15.79346,70.13428,18.06274,74.12498354939177,1,Open
15.88135,70.12573,18.11157,74.14758427433965,1,Open
15.88379,70.15259,18.10913,74.17291458362075,1,Open
15.84839,70.16724,18.28247,74.22170669090411,1,Open
15.89478,70.11353,18.37402,74.20347519671637,1,Open
15.92041,70.12573,18.31909,74.20691693520962,1,Open
15.96191,70.06836,18.34351,74.1676614371641,1,Open
15.88501,70.06348,18.42407,74.16650947547282,1,Open
15.83984,70.07446,18.48267,74.18180077246777,1,Open
15.85449,70.0769,18.35083,74.15449904394877,1,Open
15.78491,70.0708,18.37646,74.14023656881398,1,Open
15.70068,70.10986,18.37158,74.15806613833993,1,Open
15.65308,70.08545,18.26904,74.09957515202431,1,Open
15.65186,70.09521,18.26538,74.1076466563883,1,Open
15.57495,70.10986,18.31787,74.11825617254496,1,Open
15.52856,70.04639,18.40454,74.06996706032277,1,Open
15.51147,70.08179,18.42529,74.10502211556988,1,Open
15.50293,70.0708,18.4375,74.09587881572699,1,Open
15.54077,70.10376,18.35938,74.11558225039387,1,Open
15.54321,70.08057,18.58521,74.1504396438288,1,Open
15.66162,70.03418,18.70117,74.1606800714887,1,Open
15.77759,69.92676,18.86841,74.12625045308714,1,Open
15.78003,69.84253,19.05151,74.09418585072584,1,Open
15.7959,69.76807,19.04541,74.02581772870191,1,Open
15.82642,69.72534,18.94897,73.96730407546904,1,Open
15.87158,69.79004,18.89282,74.02361368138143,1,Open
15.85449,69.78516,18.98926,74.04002569376446,1,Open
15.88745,69.84253,19.0686,74.12153243331792,1,Open
15.91675,69.82666,19.12842,74.12827954980813,1,Open
15.93872,69.85352,18.94531,74.11127999586095,1,Open
15.92041,69.91821,18.81104,74.13414038116177,1,Open
15.88867,69.97803,18.74146,74.16614348866604,1,Open
15.91675,69.99756,18.77441,74.19892052694702,1,Open
15.896,70.07935,18.83911,74.28802176673304,0,Closed
15.88623,70.17456,18.79883,74.36556450518883,0,Closed
15.8728,70.18433,18.80981,74.37469266911292,0,Closed
15.89355,70.18921,18.62549,74.33733254406363,0,Closed
15.92896,70.23071,18.61694,74.38195243975046,0,Closed
15.87036,70.2417,18.64136,74.3859196896106,0,Closed
15.82764,70.25513,18.80737,74.43127464717637,0,Closed
15.77393,70.24292,18.91113,74.43463921890265,0,Closed
15.74585,70.25391,18.90137,74.4365867728196,0,Closed
15.79468,70.29541,18.76953,74.4527490411966,0,Closed
15.81055,70.271,18.60596,74.3919933852031,0,Closed
15.85327,70.24902,18.57178,74.37178223642151,0,Closed
15.85815,70.28076,18.51685,74.38911131020856,0,Closed
15.82153,70.34424,18.5376,74.4464608055917,0,Closed
15.6897,70.31738,18.44604,74.3704041123618,0,Closed
15.70679,70.34546,18.48877,74.41116590155406,0,Closed
15.67017,70.37231,18.37524,74.40071026289064,0,Closed
15.69214,70.42358,18.28491,74.43159148845402,0,Closed
15.68604,70.39917,18.17627,74.38058737791333,0,Closed
15.66528,70.39185,18.1897,74.37256705258264,0,Closed
15.68359,70.35278,18.29834,74.36610717102315,0,Closed
