Seq,Acc_X_Min,Acc_X_Max,Acc_X_Avg,Acc_X_Variance,Acc_X_StdDev,Acc_X_Range,Acc_X_Skew,Acc_X_Kurtosis,Acc_X_Energy,Acc_Y_Min,Acc_Y_Max,Acc_Y_Avg,Acc_Y_Variance,Acc_Y_StdDev,Acc_Y_Range,Acc_Y_Skew,Acc_Y_Kurtosis,Acc_Y_Energy,Acc_Z_Min,Acc_Z_Max,Acc_Z_Avg,Acc_Z_Variance,Acc_Z_StdDev,Acc_Z_Range,Acc_Z_Skew,Acc_Z_Kurtosis,Acc_Z_Energy,Gyro_X_Min,Gyro_X_Max,Gyro_X_Avg,Gyro_X_Variance,Gyro_X_StdDev,Gyro_X_Range,Gyro_X_Skew,Gyro_X_Kurtosis,Gyro_X_Energy,Gyro_Y_Min,Gyro_Y_Max,Gyro_Y_Avg,Gyro_Y_Variance,Gyro_Y_StdDev,Gyro_Y_Range,Gyro_Y_Skew,Gyro_Y_Kurtosis,Gyro_Y_Energy,Gyro_Z_Min,Gyro_Z_Max,Gyro_Z_Avg,Gyro_Z_Variance,Gyro_Z_StdDev,Gyro_Z_Range,Gyro_Z_Skew,Gyro_Z_Kurtosis,Gyro_Z_Energy,Mag_X_Min,Mag_X_Max,Mag_X_Avg,Mag_X_Variance,Mag_X_StdDev,Mag_X_Range,Mag_X_Skew,Mag_X_Kurtosis,Mag_X_Energy,Mag_Y_Min,Mag_Y_Max,Mag_Y_Avg,Mag_Y_Variance,Mag_Y_StdDev,Mag_Y_Range,Mag_Y_Skew,Mag_Y_Kurtosis,Mag_Y_Energy,Mag_Z_Min,Mag_Z_Max,Mag_Z_Avg,Mag_Z_Variance,Mag_Z_StdDev,Mag_Z_Range,Mag_Z_Skew,Mag_Z_Kurtosis,Mag_Z_Energy
2413.0,-0.38,2.03,1.02,0.08,0.28,2.41,0.01,2.22,1.13,-1.25,1.19,0.18,0.08,0.28,2.44,0.0,2.11,0.11,-0.73,2.16,0.01,0.03,0.18,2.89,0.0,5.3,0.03,-185.67,451.35,0.1,2692.88,51.89,637.02,-39792.73,3.7,2692.89,-224.67,220.34,-0.26,1519.66,38.98,445.01,92539.04,15.53,1519.72,-222.66,181.7,4.98,6243.36,79.01,404.36,-211698.16,2.72,6268.17,-31.67,36.69,6.78,97.31,9.86,68.36,-354.85,2.0,143.25,0.0,84.07,17.13,84.45,9.19,84.07,1936.44,8.53,378.04,-28.37,55.75,8.96,153.24,12.38,84.12,-1716.59,3.24,233.57
2414.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.23,1.13,-1.25,1.19,0.18,0.08,0.28,2.44,0.0,2.1,0.11,-0.73,2.16,0.0,0.03,0.18,2.89,0.0,5.4,0.03,-185.67,451.35,-0.26,2669.57,51.67,637.02,-38144.99,3.75,2669.64,-224.67,220.34,-0.17,1516.51,38.94,445.01,92255.38,15.58,1516.54,-222.66,181.7,5.67,6276.38,79.22,404.36,-222551.84,2.71,6308.47,-31.67,36.69,6.87,98.61,9.93,68.36,-365.9,1.98,145.8,0.0,84.07,17.38,91.42,9.56,84.07,2055.95,7.63,393.55,-28.37,55.75,8.84,157.86,12.56,84.12,-1791.94,3.16,235.97
2415.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.2,1.14,-1.25,1.19,0.19,0.08,0.28,2.44,0.0,2.07,0.11,-0.73,2.16,-0.0,0.03,0.19,2.89,0.0,5.48,0.03,-185.67,451.35,-0.96,2748.93,52.43,637.02,-40164.43,3.62,2749.85,-224.67,220.34,0.55,1485.0,38.54,445.01,90969.1,16.08,1485.31,-222.66,181.7,3.44,6321.23,79.51,404.36,-208737.8,2.65,6333.06,-31.67,36.69,6.99,100.0,10.0,68.36,-386.04,1.97,148.88,0.0,84.07,17.68,99.95,10.0,84.07,2220.14,6.86,412.47,-28.37,55.75,8.7,162.63,12.75,84.12,-1856.3,3.06,238.33
2416.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.22,1.14,-1.25,1.19,0.19,0.08,0.28,2.44,0.0,2.07,0.12,-0.73,2.16,-0.0,0.03,0.18,2.89,0.0,5.58,0.03,-185.67,451.35,-0.48,2761.88,52.55,637.02,-43583.04,3.59,2762.11,-224.67,220.34,0.66,1486.25,38.55,445.01,90501.57,16.03,1486.69,-222.66,181.7,3.68,6318.21,79.49,404.36,-213301.98,2.66,6331.78,-31.67,36.69,7.28,98.52,9.93,68.36,-405.2,2.01,151.57,0.0,84.07,18.06,114.2,10.69,84.07,2636.52,6.53,440.23,-28.37,55.75,8.5,167.5,12.94,84.12,-1865.15,2.92,239.73
2417.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.24,1.15,-1.25,1.19,0.19,0.08,0.28,2.44,0.0,2.09,0.11,-0.73,2.16,-0.01,0.03,0.18,2.89,0.0,5.85,0.03,-185.67,451.35,-0.63,2758.95,52.53,637.02,-42396.15,3.6,2759.35,-224.67,220.34,0.68,1485.56,38.54,445.01,90443.26,16.05,1486.02,-222.66,181.7,4.95,6412.09,80.08,404.36,-227175.94,2.63,6436.58,-31.67,36.69,7.33,99.15,9.96,68.36,-414.26,1.99,152.95,0.0,84.07,18.33,121.15,11.01,84.07,2723.15,5.93,457.19,-28.37,55.75,8.37,171.88,13.11,84.12,-1915.81,2.84,241.93
2418.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.26,1.14,-1.25,1.19,0.19,0.08,0.28,2.44,0.0,2.12,0.11,-0.73,2.16,-0.02,0.03,0.18,2.89,0.0,6.11,0.03,-185.67,451.35,-0.03,2723.28,52.19,637.02,-45218.98,3.69,2723.28,-224.67,220.34,1.34,1492.81,38.64,445.01,88271.92,15.79,1494.61,-222.66,181.7,3.03,6566.43,81.03,404.36,-216802.55,2.55,6575.59,-31.67,36.69,7.38,99.82,9.99,68.36,-420.07,1.98,154.29,0.0,84.07,18.64,128.29,11.33,84.07,2805.18,5.4,475.78,-28.37,55.75,8.18,177.17,13.31,84.12,-1945.7,2.72,244.11
2419.0,-0.38,2.03,1.04,0.08,0.28,2.41,0.01,2.29,1.15,-1.25,1.19,0.2,0.08,0.28,2.44,0.0,2.09,0.12,-0.73,2.16,-0.02,0.03,0.18,2.89,0.0,6.22,0.03,-185.67,451.35,0.4,2696.52,51.93,637.02,-47264.43,3.77,2696.68,-224.67,220.34,1.75,1487.86,38.57,445.01,86659.58,15.83,1490.92,-222.66,181.7,2.06,6574.56,81.08,404.36,-200009.14,2.52,6578.79,-31.67,36.69,7.6,99.37,9.97,68.36,-458.17,2.03,157.2,0.0,84.07,19.04,140.75,11.86,84.07,3094.54,5.06,503.35,-28.37,55.75,7.84,181.22,13.46,84.12,-1898.12,2.6,242.66
2420.0,-0.38,2.03,1.04,0.08,0.28,2.41,0.01,2.31,1.15,-1.25,1.19,0.19,0.08,0.28,2.44,0.0,2.13,0.11,-0.73,2.16,-0.02,0.03,0.18,2.89,0.0,6.46,0.03,-185.67,451.35,0.13,2681.88,51.79,637.02,-45721.19,3.8,2681.9,-224.67,220.34,1.09,1514.01,38.91,445.01,88134.86,15.42,1515.2,-222.66,181.7,3.27,6627.0,81.41,404.36,-217859.22,2.52,6637.68,-31.67,36.69,7.76,100.2,10.01,68.36,-492.2,2.04,160.44,0.0,84.07,19.48,153.9,12.41,84.07,3406.62,4.77,533.29,-28.37,55.75,7.59,185.94,13.64,84.12,-1867.75,2.48,243.58
2421.0,-0.38,2.03,1.04,0.08,0.28,2.41,0.01,2.29,1.16,-1.25,1.19,0.18,0.08,0.28,2.44,0.0,2.13,0.11,-0.73,2.16,-0.03,0.03,0.18,2.89,0.0,6.54,0.03,-185.67,451.35,-0.65,2723.2,52.18,637.02,-42228.44,3.69,2723.62,-224.67,220.34,1.44,1522.03,39.01,445.01,86799.1,15.21,1524.09,-222.66,181.7,1.68,6759.65,82.22,404.36,-204304.5,2.44,6762.48,-31.67,36.69,7.8,100.48,10.02,68.36,-500.85,2.03,161.27,0.0,84.07,19.81,160.35,12.66,84.07,3435.51,4.41,552.81,-28.37,55.75,7.34,191.74,13.85,84.12,-1864.65,2.38,245.61
2422.0,-0.38,2.03,1.04,0.08,0.28,2.41,0.01,2.3,1.16,-1.25,1.19,0.19,0.08,0.28,2.44,0.0,2.11,0.11,-0.73,2.16,-0.03,0.03,0.18,2.89,0.0,6.57,0.03,-185.67,451.35,-0.76,2733.45,52.28,637.02,-41996.67,3.66,2734.02,-224.67,220.34,1.76,1511.32,38.88,445.01,85683.27,15.37,1514.41,-222.66,181.7,0.73,6739.69,82.1,404.36,-187462.41,2.43,6740.22,-31.67,36.69,7.95,99.79,9.99,68.36,-535.07,2.08,162.93,0.0,84.07,20.13,166.13,12.89,84.07,3439.14,4.09,571.31,-28.37,55.75,7.04,197.33,14.05,84.12,-1835.88,2.28,246.95
2423.0,-0.38,2.03,1.04,0.08,0.27,2.41,0.01,2.33,1.15,-1.25,1.19,0.18,0.08,0.28,2.44,0.0,2.1,0.11,-0.73,2.16,-0.03,0.03,0.18,2.89,0.0,6.73,0.03,-185.67,451.35,-0.8,2732.22,52.27,637.02,-41710.9,3.67,2732.86,-224.67,220.34,1.1,1492.88,38.64,445.01,87548.58,15.84,1494.09,-222.66,181.7,3.1,6649.16,81.54,404.36,-199099.41,2.48,6658.78,-31.67,36.69,7.99,100.04,10.0,68.36,-548.16,2.09,163.95,0.0,84.07,20.51,173.21,13.16,84.07,3481.29,3.79,593.77,-28.37,55.75,6.73,201.28,14.19,84.12,-1762.9,2.19,246.63
