Ax_max,Ax_sum,Ax_mean,Ax_variance,Ax_stdDev,Ax_range,Ax_skewness,Ax_kurtosis,Ax_energy,Ay_min,Ay_max,Ay_sum,Ay_mean,Ay_variance,Ay_stdDev,Ay_range,Ay_skewness,Ay_kurtosis,Ay_energy,Az_min,Az_max,Az_sum,Az_mean,Az_variance,Az_stdDev,Az_range,Az_skewness,Az_kurtosis,Az_energy,Gx_min,Gx_max,Gx_sum,Gx_mean,Gx_variance,Gx_stdDev,Gx_range,Gx_skewness,Gx_kurtosis,Gx_energy,Gy_min,Gy_max,Gy_sum,Gy_mean,Gy_variance,Gy_stdDev,Gy_range,Gy_skewness,Gy_kurtosis,Gy_energy,Gz_min,Gz_max,Gz_sum,Gz_mean,Gz_variance,Gz_stdDev,Gz_range,Gz_skewness,Gz_kurtosis,Gz_energy,Mx_min,Mx_max,Mx_sum,Mx_mean,Mx_variance,Mx_stdDev,Mx_range,Mx_skewness,Mx_kurtosis,Mx_energy,My_min,My_max,My_sum,My_mean,My_variance,My_stdDev,My_range,My_skewness,My_kurtosis,My_energy,Mz_min,Mz_max,Mz_sum,Mz_mean,Mz_variance,Mz_stdDev,Mz_range,Mz_skewness,Mz_kurtosis,Mz_energy
0.65332,-10.37866,-0.10379,0.09078,0.3013,1.50317,-0.00354,2.64043,0.10155,-0.23657,1.89062,102.56946,1.02569,0.12713,0.35655,2.1272,-0.01482,3.13078,1.17918,-0.63538,0.98926,-3.9104,-0.0391,0.05906,0.24303,1.62463,0.03104,10.01481,0.06059,-167.17529,111.87744,100.64697,1.00647,1858.14331,43.10619,279.05273,-45689.44922,4.28635,1859.15674,-109.31396,93.81104,-379.39453,-3.79395,1657.85425,40.71675,203.125,-22014.25,3.04783,1672.24878,-159.97314,127.13623,225.83008,2.2583,5521.04199,74.30371,287.10937,-120829.07812,1.96015,5526.14111,-34.57031,40.08789,2633.39844,26.33398,303.36432,17.41736,74.6582,-13139.08398,8.15902,996.84338,0.0,57.66602,3811.31592,38.11316,86.86882,9.32034,57.66602,-99.29097,1.85335,1539.48218,-5.65186,44.77539,2019.31152,20.19312,67.18827,8.19685,50.42725,317.54211,4.30066,474.9502
0.65332,-10.33069,-0.10331,0.0906,0.301,1.50317,-0.00362,2.65014,0.10128,-0.23657,1.89062,103.32642,1.03326,0.11867,0.34448,2.1272,-0.00943,3.07149,1.1863,-0.63538,0.98926,-4.85364,-0.04854,0.04954,0.22258,1.62463,0.02327,10.94937,0.0519,-167.17529,111.87744,90.82031,0.9082,1858.44531,43.10969,279.05273,-45144.69141,4.27979,1859.27063,-109.31396,93.81104,-373.16895,-3.73169,1659.32666,40.73483,203.125,-22297.32813,3.04459,1673.25183,-159.97314,127.13623,213.80615,2.13806,5521.97461,74.30999,287.10937,-118847.11719,1.9576,5526.54443,-34.57031,40.08789,2698.85254,26.98853,266.48099,16.32425,74.6582,-11438.81152,9.09007,994.86188,0.0,57.66602,3818.62793,38.18628,87.57266,9.35803,57.66602,-112.36514,1.83442,1545.76489,-5.65186,44.77539,1998.21777,19.98218,73.47921,8.572,50.42725,197.87375,4.41337,472.76663
0.65332,-9.73279,-0.09733,0.09163,0.30271,1.50317,-0.00459,2.62633,0.10111,-0.23657,1.89062,104.25793,1.04258,0.10923,0.33051,2.1272,-0.00343,2.89688,1.19621,-0.63538,0.98926,-5.7804,-0.0578,0.04041,0.20102,1.62463,0.01578,11.78407,0.04375,-167.17529,111.87744,138.73291,1.38733,1881.35474,43.37459,279.05273,-46735.95313,4.2159,1883.27954,-109.31396,93.81104,-378.41797,-3.78418,1659.11182,40.7322,203.125,-22037.07422,3.04369,1673.43127,-159.97314,127.13623,261.2915,2.61292,5540.93359,74.43745,287.10937,-125891.63281,1.95299,5547.75977,-34.57031,40.08789,2762.08496,27.62085,230.54539,15.18372,74.6582,-9746.53809,10.20571,993.45709,0.0,57.66602,3815.61279,38.15613,87.46997,9.35254,57.66602,-104.7794,1.83688,1543.36035,-5.65186,44.77539,1980.71289,19.80713,78.49978,8.86001,50.42725,116.37567,4.34464,470.82214
0.65332,-9.20276,-0.09203,0.09133,0.30221,1.50317,-0.00566,2.65167,0.0998,-0.23657,1.89062,105.27051,1.05271,0.10149,0.31857,2.1272,0.00041,2.75636,1.20967,-0.63538,0.98926,-6.73096,-0.06731,0.03212,0.17922,1.62463,0.00925,12.43003,0.03665,-167.17529,111.87744,119.87305,1.19873,1903.19495,43.62562,279.05273,-47579.07031,4.15138,1904.63245,-109.31396,93.81104,-348.51074,-3.48511,1649.74854,40.6171,203.125,-23234.75586,3.08506,1661.8949,-159.97314,127.13623,185.11963,1.8512,5603.84375,74.85883,287.10937,-118159.39062,1.91019,5607.26855,-34.57031,40.08789,2819.2627,28.19263,195.93834,13.9978,74.6582,-8074.08691,11.53586,990.76288,0.0,57.66602,3807.08008,38.0708,87.05075,9.3301,57.66602,-85.54011,1.84765,1536.43677,-7.66602,44.77539,1958.52051,19.58521,85.71938,9.25848,52.44141,-32.43159,4.4105,469.29968
0.65332,-8.82959,-0.0883,0.08966,0.29944,1.50317,-0.00599,2.72687,0.09746,-0.23657,1.89062,105.93604,1.05936,0.09365,0.30603,2.1272,0.00611,2.4105,1.2159,-0.63538,0.98926,-7.70532,-0.07705,0.02312,0.15206,1.62463,0.00151,9.21179,0.02906,-167.17529,111.87744,83.6792,0.83679,1897.98987,43.56593,279.05273,-45690.05859,4.15434,1898.69019,-109.31396,93.81104,-328.49121,-3.28491,1645.16553,40.56064,203.125,-24125.46289,3.1085,1655.95642,-159.97314,127.13623,163.57422,1.63574,5617.25928,74.94838,287.10937,-115184.36719,1.89881,5619.93311,-34.57031,40.08789,2885.99854,28.85999,156.25894,12.50036,74.6582,-5914.24951,12.41286,989.15802,0.0,57.66602,3812.71973,38.1272,87.99791,9.38072,57.66602,-87.96877,1.82981,1541.68127,-7.66602,44.77539,1933.19092,19.33191,91.19556,9.54964,52.44141,-94.63316,4.25403,464.91833
0.65332,-8.10596,-0.08106,0.09011,0.30019,1.50317,-0.00697,2.73741,0.09668,-0.23657,1.89062,106.80054,1.06801,0.08694,0.29485,2.1272,0.0093,2.16207,1.22757,-0.63538,0.98926,-8.14087,-0.08141,0.02068,0.1438,1.62463,0.00056,10.11872,0.02731,-167.17529,111.87744,173.21777,1.73218,1878.25598,43.33885,279.05273,-48641.23828,4.2662,1881.25671,-109.31396,93.81104,-236.51123,-2.36511,1674.33386,40.91862,203.125,-26066.35742,3.0833,1679.92822,-159.97314,127.13623,179.38232,1.79382,5645.76807,75.13833,287.10937,-113989.02344,1.89661,5648.98486,-34.57031,40.08789,2948.31543,29.48315,123.74286,11.12398,74.6582,-4298.55713,13.61194,992.99963,0.0,57.66602,3823.49854,38.23499,87.82084,9.37128,57.66602,-113.04687,1.84145,1549.73511,-7.66602,44.77539,1897.05811,18.97058,94.46722,9.71942,52.44141,-134.14629,4.20022,454.35022
0.65332,-6.77954,-0.0678,0.08714,0.29519,1.50317,-0.00416,2.61186,0.09173,-0.23657,1.89062,107.50525,1.07505,0.08398,0.28979,2.1272,0.0093,2.1388,1.23972,-0.63538,0.98926,-8.90283,-0.08903,0.01568,0.12521,1.62463,-0.00259,7.18658,0.0236,-167.17529,111.87744,167.41943,1.67419,1884.14124,43.4067,279.05273,-48762.42188,4.24498,1886.94385,-109.31396,93.81104,-239.13574,-2.39136,1673.7981,40.91208,203.125,-25942.83008,3.08426,1679.51672,-159.97314,127.13623,102.66113,1.02661,5711.19336,75.57244,287.10937,-106232.74219,1.85624,5712.24805,-34.57031,40.08789,2999.95117,29.99951,93.93618,9.69207,74.6582,-2832.57031,14.32572,993.90729,0.0,57.66602,3808.20312,38.08203,87.1914,9.33763,57.66602,-83.78119,1.84983,1537.43286,-8.8623,44.77539,1851.9165,18.51917,99.0142,9.95059,53.6377,-267.43243,4.28227,441.97379
0.65332,-6.34033,-0.0634,0.08579,0.29289,1.50317,-0.00478,2.67904,0.08981,-0.23657,1.89062,107.63037,1.0763,0.08312,0.2883,2.1272,0.00943,2.14615,1.24155,-0.63538,0.98926,-9.15039,-0.0915,0.01522,0.12337,1.62463,-0.00258,7.42011,0.02359,-167.17529,111.87744,244.07959,2.4408,1822.87354,42.69512,279.05273,-48226.56641,4.46683,1828.8313,-109.31396,93.81104,-163.94043,-1.6394,1712.1687,41.37836,203.125,-27230.64063,3.02888,1714.85645,-159.97314,127.13623,162.8418,1.62842,5631.94629,75.0463,287.10937,-108100.74219,1.8908,5634.59814,-34.57031,40.08789,3055.5542,30.55554,68.56685,8.28051,74.6582,-1670.2533,13.99713,1002.20825,0.0,57.66602,3807.70264,38.07703,87.07116,9.33119,57.66602,-84.63969,1.85015,1536.93127,-8.8623,44.77539,1811.87744,18.11877,102.75509,10.13682,53.6377,-332.91949,4.22999,431.0451
0.65332,-5.33044,-0.0533,0.08407,0.28995,1.50317,-0.00456,2.68898,0.08692,-0.23657,1.89062,107.95667,1.07957,0.08318,0.2884,2.1272,0.0087,2.12653,1.24864,-0.63538,0.98926,-9.22998,-0.0923,0.01506,0.12271,1.62463,-0.00257,7.52715,0.02358,-167.17529,111.87744,331.90918,3.31909,1805.00244,42.48532,279.05273,-51039.73828,4.58695,1816.01917,-109.31396,93.81104,-87.82959,-0.8783,1645.28552,40.56212,203.125,-25553.58984,3.14289,1646.0575,-159.97314,127.13623,304.44336,3.04443,5739.58691,75.76006,287.10937,-119020.03125,1.88225,5748.85449,-34.57031,40.08789,3102.34375,31.02344,49.2299,7.0164,74.6582,-897.50641,12.59923,1011.6839,0.0,57.66602,3794.25049,37.9425,85.66144,9.25535,57.66602,-66.95034,1.87806,1525.29529,-8.8623,44.77539,1769.07959,17.6908,100.83001,10.04141,53.6377,-404.67596,4.15567,413.79434
0.65332,-4.61768,-0.04618,0.08397,0.28977,1.50317,-0.00545,2.71224,0.0861,-0.23657,1.89062,107.64905,1.07649,0.08373,0.28937,2.1272,0.00932,2.11914,1.24257,-0.63538,0.98926,-9.39893,-0.09399,0.01475,0.12143,1.62463,-0.00255,7.72473,0.02358,-167.17529,111.87744,304.38232,3.04382,1798.63965,42.41037,279.05273,-49714.25,4.60104,1807.90417,-109.31396,93.81104,69.88525,0.69885,1666.74719,40.82582,203.125,-23363.41016,3.21478,1667.23499,-159.97314,127.13623,242.67578,2.42676,5730.97754,75.70322,287.10937,-109071.47656,1.87881,5736.86572,-34.57031,40.08789,3123.53516,31.23535,39.63727,6.29581,74.6582,-576.29663,12.20707,1015.28485,0.0,57.66602,3777.47803,37.77478,84.65977,9.20107,57.66602,-40.38106,1.89559,1511.59387,-9.8999,44.77539,1714.4043,17.14404,100.80779,10.04031,54.67529,-647.88129,4.04097,394.72601
